अँग्रेज़	ãgrēza
अँगरेज़ी	ãgarēzī
अँग्रेजी	ãgrējī
अँग्रेज़ी	ãgrēzī
अँग्रेजों	ãgrējō̃
अँगूठे	ãgūṭhē
अँधा	ãdhā
अंक	anka
अंकतालिका	ankatālikā
अंकल	ankala
अंकुश	ankuśa
अंकों	ankō̃
अंग	anga
अंगड़ाई	angaṛāī
अंगद	angada
अंगनों	anganō̃
अंगरक्षक	angarakṣaka
अंग्रेंजी	angrēñjī
अंग्रेजी	angrējī
अंग्रेज़ी	angrēzī
अंगरेज़ों	angarēzō̃
अंग्रेजों	angrējō̃
अंग्रेज़ों	angrēzō̃
अंगूठा	angūṭhā
अंगूर	angūra
अंगों	angō̃
अंजान	añjāna
अंजाम	añjāma
अंजुमन	añjumana
अंजुमनेइस्लाम	añjumanēislāma
अंजू	añjū
अंडकोष	aṇḍakōṣa
अंडमान	aṇḍamāna
अंडमानीज़	aṇḍamānīza
अंडर	aṇḍara
अंडा	aṇḍā
अंडाणु	aṇḍāṇu
अंडाणुओं	aṇḍāṇuō̃
अंडे	aṇḍē
अंत	anta
अंतत	antata
अंततः	antataḥ
अंतर	antara
अंतरकलह	antarakalaha
अंतर्गत	antargata
अंतरमहल	antaramahala
अंतर्मुखी	antarmukhī
अंतरराष्ट्रीय	antararāṣṭrīya
अंतर्राष्ट्रीय	antarrāṣṭrīya
अंतर्विरोध	antarvirōdha
अंतराराष्ट्रीय	antarārāṣṭrīya
अंतराष्ट्रीय	antarāṣṭrīya
अंतरिक्ष	antarikṣa
अंतरिक्षयात्री	antarikṣayātrī
अंतरिक्षविज्ञानियों	antarikṣavijñāniyō̃
अंतरिम	antarima
अंतरीन	antarīna
अंतहीन	antahīna
अंतिम	antima
अंदर	andara
अंदरुनी	andarunī
अंदरूनी	andarūnī
अंदाज़	andāza
अंदाजा	andājā
अंदाज़ा	andāzā
अंदेशा	andēśā
अंधकार	andhakāra
अंधकारमय	andhakāramaya
अंधविश्वासी	andhaviśvāsī
अंधा	andhā
अंधी	andhī
अंधे	andhē
अंधेरा	andhērā
अंधेरे	andhērē
अंनत	annata
अंपायर	ampāyara
अंपायरिंग	ampāyaringa
अंपायरों	ampāyarō̃
अंबरासन	ambarāsana
अंबानी	ambānī
अंबार	ambāra
अंबिकापुर	ambikāpura
अंबुज	ambuja
अंबेडकर	ambēḍakara
अंश	ãśa
अंशु	ãśu
अंसतोष	ãsatōṣa
अंसार	ãsāra
अंसारी	ãsārī
अक्टूबर	akṭūbara
अक्तूबर	aktūbara
अकबर	akabara
अकबरज़ोला	akabarazōlā
अकबरुद्दीन	akabaruddīna
अकमल	akamala
अकरम	akarama
अक्रापट	akrāpaṭa
अक्रिय	akriya
अकल्पनीय	akalpanīya
अक्ष	akṣa
अक्षत	akṣata
अक्षम	akṣama
अक्षमता	akṣamatā
अक्षय	akṣaya
अक्षर	akṣara
अक्षरों	akṣarō̃
अक्स	aksa
अक्सर	aksara
अक्सा	aksā
अक़्सा	aqsā
अकादमिक	akādamika
अकादमी	akādamī
अकाल	akāla
अकालेर	akālēra
अकेला	akēlā
अकेली	akēlī
अकेले	akēlē
अखंडता	akhaṇḍatā
अख्तर	akhtara
अख़्तर	aḵẖtara
अखबार	akhabāra
अख़बार	aḵẖabāra
अख़बारी	aḵẖabārī
अखबारों	akhabārō̃
अख़बारों	aḵẖabārō̃
अखाड़े	akhāṛē
अग़ज़ादे	aġzādē
अगड़ों	agaṛō̃
अग्निकांड	agnikāṇḍa
अग्निपथ	agnipatha
अग्निहोत्री	agnihōtrī
अगर	agara
अगरकर	agarakara
अगरबत्ती	agarabattī
अग्रवाल	agravāla
अग्रिम	agrima
अगला	agalā
अगली	agalī
अगले	agalē
अगस्त	agasta
अगाल	agāla
अगाशे	agāśē
अगासी	agāsī
अगुआई	aguāī
अगुवाई	aguvāī
अगेन्सट	agēnsaṭa
अघात	aghāta
अघिक	aghika
अच्छ	accha
अच्छा	acchā
अच्छाइयाँ	acchāiyā̃
अच्छी	acchī
अच्छे	acchē
अचला	acalā
अचानक	acānaka
अछूता	achūtā
अछूती	achūtī
अछूते	achūtē
अज्ञात	ajñāta
अज्ञानी	ajñānī
अजनबी	ajanabī
अजमेर	ajamēra
अजय	ajaya
अज़रबैजान	azarabaijāna
अज़हर	azahara
अज़हा	azahā
अजित	ajita
अज़ीकल	azīkala
अजीज़	ajīza
अज़ीज़	azīza
अजीत	ajīta
अजीब	ajība
अजीबो	ajībō
अजीबोगरीब	ajībōgarība
अज़ीम	azīma
अजूबा	ajūbā
अजूबे	ajūbē
अटकलें	aṭakalē̃
अटकलों	aṭakalō̃
अटका	aṭakā
अटकाती	aṭakātī
अटकाने	aṭakānē
अट्ठाइस	aṭṭhāisa
अटल	aṭala
अटलांटा	aṭalāṇṭā
अटलांटिक	aṭalāṇṭika
अटवाल	aṭavāla
अटूट	aṭūṭa
अड़चनें	aṛacanē̃
अड्डा	aḍḍā
अड्डे	aḍḍē
अड्डो	aḍḍō
अड्डों	aḍḍō̃
अड़ना	aṛanā
अड़ाना	aṛānā
अणु	aṇu
अत्यंत	atyanta
अत्यधिक	atyadhika
अत्याचार	atyācāra
अता	atā
अतिआत्मविश्वास	atiātmaviśvāsa
अतिथि	atithi
अतिरिक्त	atirikta
अतिशयोक्ति	atiśayōkti
अतीत	atīta
अतुल	atula
अतुलनीय	atulanīya
अतुल्य	atulya
अथक	athaka
अथवा	athavā
अथाह	athāha
अदजरिया	adajariyā
अदनान	adanāna
अदभुत	adabhuta
अद्भुत	adbhuta
अदभुद	adabhuda
अदम्य	adamya
अद्वितीयता	advitīyatā
अदा	adā
अदाएँ	adāē̃
अदाओं	adāō̃
अदाकार	adākāra
अदायगी	adāyagī
अदालत	adālata
अदालती	adālatī
अदालतों	adālatō̃
अध्यक्ष	adhyakṣa
अध्यक्षता	adhyakṣatā
अध्यक्षा	adhyakṣā
अध्ययण	adhyayaṇa
अध्ययन	adhyayana
अध्ययनों	adhyayanō̃
अध्यापक	adhyāpaka
अध्यापन	adhyāpana
अध्याय	adhyāya
अध्यायों	adhyāyō̃
अधार्मिक	adhārmika
अधिक	adhika
अधिकतम	adhikatama
अधिकतर	adhikatara
अधिकता	adhikatā
अधिकाँश	adhikā̃śa
अधिकांश	adhikā̃śa
अधिकार	adhikāra
अधिकारियों	adhikāriyō̃
अधिकारी	adhikārī
अधिकारों	adhikārō̃
अधिकृत	adhikṛta
अधिग्रहण	adhigrahaṇa
अधिनायकवाद	adhināyakavāda
अधिपत्य	adhipatya
अधिवक्ता	adhivaktā
अधिवेशन	adhivēśana
अधीक्षक	adhīkṣaka
अधीन	adhīna
अधीरथ	adhīratha
अधूरा	adhūrā
अधूरी	adhūrī
अन	ana
अनंत	ananta
अनंतकुमार	anantakumāra
अनगिनत	anaginata
अनचाहे	anacāhē
अनजान	anajāna
अनजाने	anajānē
अन्तरराष्ट्रीय	antararāṣṭrīya
अन्तराष्ट्रीय	antarāṣṭrīya
अनदेखी	anadēkhī
अनदेखे	anadēkhē
अन्नाद्रमुक	annādramuka
अन्नान	annāna
अन्नू	annū
अनपेक्षित	anapēkṣita
अन्य	anya
अन्याय	anyāya
अनवर	anavara
अनसुनी	anasunī
अनहोनी	anahōnī
अनाचक	anācaka
अनाचार	anācāra
अनाज	anāja
अनातोली	anātōlī
अनाथ	anātha
अनाथालय	anāthālaya
अनाथालयों	anāthālayō̃
अनाथों	anāthō̃
अनाम	anāma
अनामुल	anāmula
अनारकली	anārakalī
अनारक्षित	anārakṣita
अनावरण	anāvaraṇa
अनावश्यक	anāvaśyaka
अनास्तासिया	anāstāsiyā
अनास्तेसिया	anāstēsiyā
अनिता	anitā
अनियत्रित	aniyatrita
अनियमित	aniyamita
अनियमितताएँ	aniyamitatāē̃
अनियमितताओं	aniyamitatāō̃
अनिरुद्ध	aniruddha
अनिल	anila
अनिवार्य	anivārya
अनिश्चितकालीन	aniścitakālīna
अनिश्चितता	aniścitatā
अनीस	anīsa
अनु	anu
अनुकरण	anukaraṇa
अनुकूल	anukūla
अनुच्छेद	anucchēda
अनुचित	anucita
अनुत्तरित	anuttarita
अनुदान	anudāna
अनुपम	anupama
अनुपस्थिति	anupasthiti
अनुपात	anupāta
अनुबंध	anubandha
अनुबंधों	anubandhō̃
अनुभव	anubhava
अनुभवहीन	anubhavahīna
अनुभवी	anubhavī
अनुभवों	anubhavō̃
अनुभूति	anubhūti
अनुमति	anumati
अनुमान	anumāna
अनुमानित	anumānita
अनुमानों	anumānō̃
अनुयायियों	anuyāyiyō̃
अनुयायी	anuyāyī
अनुराग	anurāga
अनुराधा	anurādhā
अनुरूप	anurūpa
अनुरोध	anurōdha
अनुवाद	anuvāda
अनुवादक	anuvādaka
अनुशासन	anuśāsana
अनुशासनहीनता	anuśāsanahīnatā
अनुशासनात्मक	anuśāsanātmaka
अनुशासित	anuśāsita
अनुष्ठान	anuṣṭhāna
अनुसंधान	anusandhāna
अनुसंधानकर्ता	anusandhānakartā
अनुसर	anusara
अनुसरण	anusaraṇa
अनुसार	anusāra
अनुसूचित	anusūcita
अनू	anū
अनूठा	anūṭhā
अनूठे	anūṭhē
अनेक	anēka
अनैतिकता	anaitikatā
अनोखा	anōkhā
अनोखी	anōkhī
अनोखे	anōkhē
अनौपचारिक	anaupacārika
अप	apa
अपकेंद्रों	apakēndrō̃
अपडेट	apaḍēṭa
अपना	apanā
अपनाई	apanāī
अपनाओगे	apanāōgē
अपनाती	apanātī
अपनाते	apanātē
अपनाना	apanānā
अपनाने	apanānē
अपनापन	apanāpana
अपनाया	apanāyā
अपनालय	apanālaya
अपनी	apanī
अपने	apanē
अपनेआप	apanēāpa
अपनेसैन्य	apanēsainya
अपनों	apanō̃
अपमान	apamāna
अपर्णा	aparṇā
अप्रत्यक्ष	apratyakṣa
अप्रत्याशित	apratyāśita
अप्रतिम	apratima
अप्रभावित	aprabhāvita
